Year;Mo;Maximum Water Height (m);Total Deaths;Total Damage ($Mil);Total Houses Destroyed;Total Houses Damaged;Country
;;;;;;;
1800;6;;;;;;PORTUGAL
1802;1;;;;;;CROATIA
1802;3;;;;;;ANTIGUA AND BARBUDA
1802;8;;;;;;UK
1802;8;;;;;;VENEZUELA
1802;8;;;;;;INDONESIA
1802;11;;;;1100;;ALGERIA
1802;12;;19;;1060;;JAPAN
1804;1;;;;;;GREECE
1804;1;;;;;;SPAIN
1804;6;;;;;;GREECE
1804;7;1;450;;10810;300;JAPAN
1804;7;;;;;;ITALY
1805;1;;;;;;GREECE
1805;5;5;;;1;;AUSTRALIA
1805;7;;;;;;ITALY
1806;3;;;;;;USA
1806;8;;;;;;ITALY
1806;12;1;;;;;PERU
1806;;1.5;;;;;FRENCH POLYNESIA
1808;4;0.15;2;;;;ITALY
1808;8;1.5;;;;;JAPAN
1808;12;;;;;;JAPAN
1809;7;;;;;;ITALY
1809;7;;;;;;PORTUGAL
1809;12;;;;;;SOUTH AFRICA
1809;;;;;;;USA TERRITORY
1810;2;;;;;;GREECE
1810;8;;;;;;MEXICO
1810;9;1;57;;1084;;JAPAN
1810;;;;;;;NEW ZEALAND
1810;;;;;;;NORWAY
1811;11;4;;;;;CHILE
1811;12;;;;;;USA
1811;12;;;;;;USA
1812;1;;;;;;USA
1812;2;;;;;;USA
1812;3;;26000;;;;VENEZUELA
1812;6;;;;;;FRANCE
1812;11;;;;;;JAMAICA
1812;12;3.4;1;;;;USA
1812;;;;;;;USA
1813;5;;;;;;ITALY
1813;;;;;;;USA
1814;;;;;;;INDONESIA
1815;4;4;60000;;;;INDONESIA
1815;4;;;;;;INDONESIA
1815;11;;11453;;;;INDONESIA
1816;2;;;;;;PORTUGAL
1816;5;;;;;;INDONESIA
1816;12;;;;;;JAPAN
1817;1;;;;;;GREECE
1817;1;0.3;;;;;USA
1817;1;;;;;;ITALY
1817;8;5;;;;;GREECE
1818;1;;;;;;GREECE
1818;2;;72;;;;ITALY
1818;2;;;;;;ITALY
1818;3;;;;;;INDONESIA
1818;11;3.5;;;;;INDONESIA
1818;12;;;;;;ITALY
1819;1;;;;;;ITALY
1819;4;4;;;;;CHILE
1819;6;;1543;;1547;;INDIA
1819;8;;;;;;NORWAY
1819;;;;;;;USA TERRITORY
1820;3;;;;;;USA
1820;3;;;;;;GREECE
1820;5;4;;;;;MEXICO
1820;7;;;;;;ITALY
1820;12;;8;;79;;GREECE
1820;12;25;500;;;;INDONESIA
1820;;;;;;;USA
1820;;;;;;;CONGO
1821;1;;;;;;GREECE
1821;4;;;;;;COSTA RICA
1821;5;;3;;;;UK TERRITORY
1821;9;;;;;;USA
1821;;;;;;;INDONESIA
1822;3;;;;;;LEBANON
1822;4;;;;;;ITALY
1822;5;;;;;;COSTA RICA
1822;8;;8000;;;;TURKEY
1822;11;3.6;72;;;;CHILE
1823;3;;;;;;ITALY
1823;5;2.74;;;;;USA
1823;8;;;;;;CROATIA
1823;9;0.3;;;;;INDONESIA
1823;10;;;;;;CROATIA
1823;11;;;;;;MARTINIQUE (FRENCH TERRITORY)
1824;9;;;;;;GUADELOUPE (FRENCH TERRITORY)
1824;10;;;;;;PHILIPPINES
1824;11;;;;;;MARTINIQUE (FRENCH TERRITORY)
1825;1;;;;;;DENMARK
1825;1;;58;;;;GREECE
1825;2;;;;;;COLOMBIA
1825;3;;;;;;USA
1825;4;;;;;;USA TERRITORY
1825;9;;;;;;TRINIDAD AND TOBAGO
1826;1;;;;;;JAPAN
1826;3;;;;;;ITALY
1826;10;;;;;;USA
1826;;;;;;;NEW ZEALAND
1827;1;;;;;;USA
1827;8;;;;;;USA
1827;8;;;;;;RUSSIA
1827;11;;;;;;ECUADOR
1827;;;;;;;USA
1828;3;;;;;;PERU
1828;5;;;;;;JAPAN
1828;10;;;;;;ITALY
1828;11;;;;;;PHILIPPINES
1828;12;;1443;;11750;;JAPAN
1828;12;;;;;;INDONESIA
1829;5;;;;;;TURKEY
1829;9;;;;;;CHILE
1830;1;;;;;;HOLLAND
1830;1;1;;;;;PHILIPPINES
1830;9;;;;;;PHILIPPINES
1831;5;;;;;;ITALY
1831;7;;;;;;ITALY
1831;12;;;;;;TRINIDAD AND TOBAGO
1831;;;;;;;NEW ZEALAND
1832;3;;234;;;;ITALY
1833;1;;;;;;ALBANIA
1833;3;;;;;;MEXICO
1833;9;;6700;;87620;;CHINA
1833;9;9;700;;1001;;PERU
1833;11;;;;;;INDONESIA
1833;12;9;85;;1140;1790;JAPAN
1834;2;;;;73;;JAPAN
1834;3;;;;;;MEXICO
1835;2;24;53;;;;CHILE
1835;7;;;;;;GREECE
1835;7;5;;;;;JAPAN
1835;8;;;;;;JAPAN
1836;1;;;;;;AUSTRALIA
1836;3;;;;;;INDONESIA
1836;4;;589;;;;ITALY
1836;7;;;;;;CHILE
1836;9;;;;;;JAPAN
1836;11;;;;;;INDONESIA
1837;1;;;;;;ISRAEL
1837;8;;;;;;NETHERLANDS
1837;8;;;;;;USA TERRITORY
1837;8;;;;;;MEXICO
1837;9;;;;;;INDONESIA
1837;10;;;;;;MEXICO
1837;10;;;;;;MICRONESIA, FED. STATES OF
1837;11;6;16;;;;CHILE
1838;5;0.8;;;;;CHILE
1838;8;;;;;;CROATIA
1839;2;;;;;;CHILE
1839;3;;;;;;USA
1839;5;;;;;;JAPAN
1839;;;;;;;NEW ZEALAND
1840;1;;;;;;INDONESIA
1840;1;;;;;;USA
1840;1;;;;;;PERU
1840;2;;;;500;;INDONESIA
1840;3;;52;;;;PHILIPPINES
1840;7;;;;;;NEW ZEALAND
1840;8;1;;;;;NEW ZEALAND
1840;11;;;;;;USA
1840;;;;;;;USA
1841;5;15;;;;;RUSSIA
1841;11;3;;;;;INDONESIA
1841;12;1.5;;;;;INDONESIA
1841;;;;;;;PERU
1842;5;5;5300;;;;HAITI
1842;11;;;;;;CANADA
1842;11;;;;;;BANGLADESH
1843;1;;;;;;INDONESIA
1843;2;;;;;;INDONESIA
1843;2;1.2;5000;;;;GUADELOUPE (FRENCH TERRITORY)
1843;2;;;;;;GUADELOUPE (FRENCH TERRITORY)
1843;4;4.5;45;;75;;JAPAN
1843;7;;;;;;UK
1843;7;;;;;;NEW ZEALAND
1843;9;;;;;;CROATIA
1843;10;;;;;;GREECE
1844;3;;;;;;CROATIA
1844;3;;;;;;JAPAN
1844;3;;;;;;CROATIA
1844;5;;;;;;NICARAGUA
1845;2;;118;;;;INDONESIA
1845;4;;;;;;MEXICO
1845;6;;;;;;ITALY
1845;6;;;;;;INDIA
1845;7;1;;;;;NEW ZEALAND
1845;8;;;;;;CROATIA
1845;9;;;;;;JAPAN
1845;;;100;;;;USA
1846;1;1.2;;;;;INDONESIA
1846;3;2;;;;;JAPAN
1846;5;;;;;;NEW ZEALAND
1846;7;;;;;;TURKEY
1846;8;;56;;;;ITALY
1846;8;;;;;;ITALY
1846;9;;;;;;ITALY
1846;9;;;;;;ITALY
1846;10;;;;;;ITALY
1846;10;;;;;;ITALY
1846;10;;;;;;ITALY
1846;10;;;;;;ITALY
1846;10;;;;;;ITALY
1846;11;;;;;;ITALY
1846;12;;;;;;ITALY
1846;;;;;;;TURKEY
1847;4;;;;;;ITALY
1847;4;;;;;;ITALY
1847;4;;;;;;ITALY
1847;5;2;;;;;PERU
1847;7;7;10;;;;PORTUGAL
1847;8;;;;;;ITALY
1847;8;;335;;;;JAPAN
1847;10;;;;;;CHILE
1847;10;;;;;;INDIA
1848;6;;;;;;RUSSIA
1848;7;;;;;;FRENCH POLYNESIA
1848;9;;;;;;CANADA
1848;10;0.3;;;;;NEW ZEALAND
1848;10;;;;;;NEW ZEALAND
1848;10;;3;;;;NEW ZEALAND
1849;1;6.1;;;;;USA TERRITORY
1849;9;;;;;;RUSSIA
1849;11;5;;;;;CHILE
1850;1;;;;;;ITALY
1850;5;;;;;;ITALY
1850;7;2;;;;;JAPAN
1850;10;;;;;;ITALY
1850;;;;;;;NORTHWEST PACIFIC OCEAN
1851;2;;;;;;GREECE
1851;2;0.9;;;;;TURKEY
1851;4;;;;;;CHILE
1851;4;;;;;;TURKEY
1851;5;1.5;;;;;INDONESIA
1851;5;;;;;;USA
1851;5;;;;;;GREECE
1851;5;3;;;;;CHILE
1851;7;;;;;;ITALY
1851;10;0.66;2000;;;;ALBANIA
1851;11;;;;;;USA
1851;12;;;;;;ITALY
1852;1;;;;;;INDONESIA
1852;2;;;;;;ITALY
1852;5;;;;;;TURKEY
1852;6;;;;;;ITALY
1852;7;;;;;;CUBA
1852;9;;;;;;TURKEY
1852;9;;3;;;;PHILIPPINES
1852;11;;;;;;INDONESIA
1852;11;;;;;;ITALY
1852;11;;;;;;INDONESIA
1852;11;;;;;;INDONESIA
1852;11;;;;;;INDONESIA
1852;11;;;;;;INDONESIA
1852;11;;;;;;USA
1852;11;8;60;;;;INDONESIA
1852;11;;;;;;PERU
1852;11;3;;;;;MEXICO
1852;12;;1;;;;MEXICO
1852;12;;;;;;INDONESIA
1852;12;1.2;;;;;AUSTRALIA
1853;4;;;;;;ITALY
1853;7;5;1000;;;;VENEZUELA
1853;8;;17;;;;GREECE
1853;10;;;;;;JAPAN
1853;10;;;;;;TAIWAN
1853;11;;;;;;RUSSIA
1853;12;1;;;;;MONTENEGRO
1853;12;;;;;;TONGA
1853;;120;;;;;USA
1854;1;;;;;;INDONESIA
1854;1;;;;;;NORTHWEST PACIFIC OCEAN
1854;1;2.4;;;;;USA
1854;2;;;;;;FRANCE
1854;5;;;;;;USA
1854;6;;;;;;RUSSIA
1854;7;;;;;;RUSSIA
1854;7;0.1;;;;;USA
1854;8;;;;;;COSTA RICA
1854;8;;;;;;COSTA RICA
1854;8;0.03;;;;;USA
1854;9;;;;;;INDONESIA
1854;10;0.03;;;;;USA
1854;10;;;;;;USA
1854;11;;;;;;USA
1854;11;;;;;;USA
1854;12;;;;;;USA
1854;12;;;;;;MEXICO
1854;12;21;1000;;8900;;JAPAN
1854;12;28;3000;;20000;;JAPAN
1854;12;;;;;;FRANCE
1855;1;11;;;;;NEW ZEALAND
1855;2;;;;;;NEW ZEALAND
1855;2;;;;;;NEW ZEALAND
1855;2;;;;;;TURKEY
1855;2;10;;;;;PORTUGAL
1855;3;;;;;;USA
1855;4;;;;;;INDONESIA
1855;5;;;;;;FRANCE
1855;7;;;;1;26;USA
1855;8;;;;;;CHILE
1855;9;;;;;;HONDURAS
1855;10;;;;;;USA
1855;11;3;;;;;JAPAN
1855;11;;6757;;50000;;JAPAN
1855;12;;;;;;JAPAN
1855;;3;;;;;CHINA
1856;1;10;;;;;PORTUGAL
1856;2;0.6;;;;;USA
1856;3;;2806;;;;INDONESIA
1856;3;1;;;;;NEW ZEALAND
1856;7;;;;;;INDONESIA
1856;7;;;;;;USA
1856;8;5;;;;;HONDURAS
1856;8;3.75;5;;;;ALGERIA
1856;8;5;8;;;;ALGERIA
1856;8;6;26;;193;238;JAPAN
1856;9;;;;;;JAPAN
1856;10;;538;;8000;;GREECE
1856;11;;;;;;GREECE
1857;1;;;;;;SUDAN
1857;4;;;;;;PAPUA NEW GUINEA
1857;5;3.4;36;;;;INDONESIA
1857;5;;;;;;ALGERIA
1857;7;;;;;;JAPAN
1857;9;;;;;;TURKEY
1857;11;;;;;;INDONESIA
1857;11;;;;;;INDONESIA
1858;1;;;;;;AUSTRALIA
1858;2;;;;;;GREECE
1858;4;;;;;;CHILE
1858;6;2.4;;;;;UK
1858;8;;;;;;NEW ZEALAND
1858;9;;;;;;NEW ZEALAND
1858;9;;;;;;JAPAN
1858;12;;;;;;INDONESIA
1859;6;10;;;;;INDONESIA
1859;7;;;;;;INDONESIA
1859;7;1;;;;;INDONESIA
1859;8;;;;;;TURKEY
1859;8;;;;;;EL SALVADOR
1859;9;4.6;;;;;USA
1859;9;;;;;;INDONESIA
1859;10;6;10;;339;;CHILE
1859;10;;;;200;;CHILE
1859;10;;2;;;;INDONESIA
1859;10;;;;;;GREECE
1859;10;;;;;;INDONESIA
1859;11;;;;;;AUSTRALIA
1859;12;;;;;;EL SALVADOR
1859;12;;;;;;INDONESIA
1859;12;;;;;;INDONESIA
1860;1;;;;;;SPAIN
1860;3;;;;;;MEXICO
1860;4;;;;;;HAITI
1860;4;;;;;;PERU
1860;8;;;;;;INDONESIA
1860;10;;;;;;INDONESIA
1860;12;3.6;;;;;USA
1861;2;7;1105;;;;INDONESIA
1861;2;;;;;;INDONESIA
1861;3;;950;;96;;INDONESIA
1861;3;;;;;;CHILE
1861;3;1.8;;;;;INDONESIA
1861;4;;;;;;INDONESIA
1861;5;;;;;;USA
1861;5;;;;;;USA
1861;6;;;;;;INDONESIA
1861;6;;;;;;INDONESIA
1861;9;;;;;;INDONESIA
1861;10;3.9;;;70;;JAPAN
1861;12;2.1;;;;;GREECE
1862;1;;;;;;GREECE
1862;1;;;;;;USA
1862;3;;;;;;PHILIPPINES
1862;3;;;;;;FRANCE
1862;4;2.1;;;;;INDONESIA
1862;5;1.2;;;;;USA
1862;7;;3;;;;GHANA
1862;11;;;;;;ITALY
1863;3;;;;;;INDONESIA
1863;4;;300;;2050;;GREECE
1863;6;;400;;1172;;PHILIPPINES
1863;8;;;;;;VANUATU
1863;9;;;;;;JAPAN
1863;;;;;;;CANADA
1864;2;;;;;;INDONESIA
1864;5;;;;;;HAITI
1864;5;3;250;;;;INDONESIA
1864;6;;;;;;CANADA
1865;1;2;5;;;;PERU
1865;3;;;;;;PERU
1865;3;;;;;;JAPAN
1865;7;;;;;;USA
1865;10;;;;;;USA
1865;10;;;0.5;;;USA
1865;10;;;;;;PHILIPPINES
1865;10;;;;223;;PHILIPPINES
1865;11;1.25;;;20;;TONGA
1865;11;;;;;;PERU
1866;1;;60;;;;ALBANIA
1866;1;;;;;;ALBANIA
1866;1;;;;;;GREECE
1866;1;;;;52;;GREECE
1866;2;;;;;;GREECE
1866;2;8.6;;;;;GREECE
1866;3;;60;;12;;ALBANIA
1866;3;;;;;;ALBANIA
1866;3;;;;;;ALBANIA
1866;8;;;;;;AUSTRALIA
1866;8;;;;;;AUSTRALIA
1866;9;;;;;;USA
1866;9;;;;;;USA TERRITORY
1866;10;;;;;;GREECE
1866;12;;;;;;USA
1867;2;;;;;;GREECE
1867;3;;563;;5915;5500;GREECE
1867;3;;16;;7;;ITALY
1867;4;;;;;;GREECE
1867;5;;;;;;NORWAY
1867;6;;5;;372;;INDONESIA
1867;8;;;;;;AUSTRALIA
1867;9;6;;;;;GREECE
1867;9;;;;;;VENEZUELA
1867;10;;;;;;GREECE
1867;11;15.2;24;;;;USA TERRITORY
1867;11;;;;;;GREECE
1867;12;15;580;;;;TAIWAN
1868;3;1.5;;;;;USA TERRITORY
1868;4;13.7;77;;;;USA
1868;4;;;;;;USA
1868;4;;;;;;USA
1868;4;;;;;;USA
1868;4;;;;;;UK
1868;5;6.1;;;;;USA
1868;5;;;;;;ITALY
1868;5;;;;;;MEXICO
1868;6;;;;;;USA
1868;8;;;;;;PERU
1868;8;;;;;;MEXICO
1868;8;18;25000;300;;;CHILE
1868;8;;;;;;VENEZUELA
1868;8;0.17;;;;;CHILE
1868;8;4;;;;;INDIA
1868;9;;;;;;ITALY
1868;9;1;;;;;CHILE
1868;10;6.1;;;;;USA
1868;10;;;;;;PERU
1868;10;1;;;;;CHILE
1868;10;3;;;;;NEW ZEALAND
1868;10;4.5;30;0.35;;;USA
1869;1;;;;;;NEW ZEALAND
1869;1;;;;;;CHILE
1869;2;;;;;;CHILE
1869;2;;;;;;USA
1869;2;;;;;;USA
1869;3;0.6;;;;;NEW ZEALAND
1869;3;;;;;;NEW ZEALAND
1869;4;;;;;;PERU
1869;6;;;;;;USA
1869;6;;;;;;CHILE
1869;7;8.2;;;;;USA
1869;8;3;;;;;CHILE
1869;8;;;;;;AUSTRALIA
1869;8;;;;;;PHILIPPINES
1869;8;;;;;;PERU
1869;8;;;;;;CHILE
1869;8;2;;;;;CHILE
1869;9;;;;;;GREECE
1869;10;;;;;;UKRAINE
1869;12;;;;;;GREECE
1870;4;0.6;;;;;NEW ZEALAND
1870;4;;;;;;NEW ZEALAND
1870;5;;24;;;;MEXICO
1870;6;;;;;;GUADELOUPE (FRENCH TERRITORY)
1870;6;;;;;;EGYPT
1870;7;;;;;;CROATIA
1870;8;;100;;;;GREECE
1870;8;;;;;;CROATIA
1870;8;;;;;;AUSTRALIA
1870;10;;2;;16;;CANADA
1870;10;;;;;;ITALY
1870;11;;;;;;ITALY
1871;1;;;;;;ITALY
1871;2;;;;;;PERU
1871;2;0.3;;;;;MEXICO
1871;2;;;;;;USA
1871;2;;;;;;USA
1871;3;25;400;;75;;INDONESIA
1871;3;1;;;;;CHILE
1871;3;;;;;;NEW ZEALAND
1871;4;;;;;;PHILIPPINES
1871;6;;;;;;USA
1871;8;;;;;;CHILE
1871;8;;;;;;PERU
1871;8;;;;;;INDONESIA
1871;8;;;;;;NEW ZEALAND
1871;9;;;;;;FRANCE
1871;10;;;;;;CHILE
1871;10;;;;;;GREECE
1871;12;;;;;;CHILE
1872;1;;;;;;PERU
1872;1;;;;;;USA
1872;1;;;;;;USA
1872;1;;;;;;PHILIPPINES
1872;3;3;804;;5796;;JAPAN
1872;3;;;;;;USA
1872;4;;1800;;;;TURKEY
1872;6;0.6;;;;;USA
1872;8;1.3;;;;;USA
1872;8;;;;;;USA
1872;9;0.1;;;;;USA
1872;11;0.51;;;;;USA
1872;;;;;;;ICELAND
1872;;;;;;;JAPAN
1873;7;;;;;;CHILE
1873;10;;;;;;PANAMA
1873;10;;;;;;GREECE
1873;11;;;;;;CHILE
1873;11;3.05;;;;;USA
1873;;;;;;;PAPUA NEW GUINEA
1874;3;;;;;;USA TERRITORY
1874;5;;2000;;;;BANGLADESH
1874;5;24.38;;;;;USA
1874;5;;;;;;INDONESIA
1874;10;;;;;;AUSTRALIA
1875;2;;;;;;MEXICO
1875;3;;;;;;ITALY
1875;3;4;25;;;;NEW CALEDONIA
1875;5;;;;;;VANUATU
1875;10;;;;;;USA
1875;;;;;;;PAPUA NEW GUINEA
1876;5;0.3;;;;;INDONESIA
1876;10;;;;;;JAPAN
1876;12;;;;;;ITALY
1876;;;;;;;INDIA
1877;2;;;;;;USA
1877;2;;;;;;USA
1877;4;1.8;;;;;USA
1877;5;;;;;;USA
1877;5;24;2385;;;;CHILE
1877;5;;;;;;PERU
1877;5;;;;;;CHILE
1877;6;;;;;;CHILE
1877;8;1;;;;;CHILE
1877;9;;;;;;CHILE
1877;9;;;;;;VIETNAM
1877;10;;;;;;CHILE
1877;10;;;;;;COLOMBIA
1877;12;;;;;;NEW ZEALAND
1878;1;12;;;;;VANUATU
1878;1;;;;;;USA
1878;1;3.6;;;3;;USA
1878;1;;;;;;CHILE
1878;1;;5;;;;PERU
1878;1;;;;;;CHILE
1878;2;;;;;;CHILE
1878;2;;1;;;;PAPUA NEW GUINEA
1878;2;;;;;;PERU
1878;2;;;;;;VANUATU
1878;2;;;;;;CHILE
1878;3;;;;;;CHILE
1878;4;;;;;;CHILE
1878;4;;40;;;;TURKEY
1878;6;;;;;;CHILE
1878;6;;;;;;CHILE
1878;8;;;;;;USA
1878;8;;;;;;INDONESIA
1878;8;;;;;;VANUATU
1878;9;;;;;;CHILE
1878;10;;;;;;RUSSIA
1878;11;1;1;;;;USA
1878;11;;;;;;CHILE
1879;2;;;;;;ITALY
1879;4;0.9;;;;;NEW ZEALAND
1879;7;;;;;;EGYPT
1879;7;;;;;;CROATIA
1879;8;;;;;;CHILE
1879;8;;;;;;USA
1879;;;;;;;USA
1880;4;;;;;;NORWAY
1880;4;;;;;;ITALY
1880;7;;20;;;;PHILIPPINES
1880;8;;2;;600;;CHILE
1880;9;;;;;;GREECE
1880;9;;;;;;NEW ZEALAND
1880;9;0.08;;;;;AUSTRALIA
1880;9;;;;;;USA
1880;10;1.8;;;;;USA
1880;11;;;;;;JAPAN
1881;4;;7866;;;;GREECE
1881;4;;;;;;GREECE
1881;6;3;;;;;NEW ZEALAND
1881;7;0.46;;;;;FIJI
1881;7;1.4;;;;;CHILE
1881;8;0.46;;;;;JAMAICA
1881;10;;;;;;JAPAN
1881;10;;;;;;CHILE
1881;11;;;;;;TONGA
1881;12;2;;;;;GREECE
1881;12;1.22;;;;;INDIA
1882;1;;;;;;SRI LANKA
1882;2;;;;;;CHILE
1882;4;1.2;;;;;NEW ZEALAND
1882;7;;;;;;VIETNAM
1882;9;3;;;;;PANAMA
1882;9;;;;;;CHILE
1882;10;;;;;;INDONESIA
1882;12;;8;;40;;TAIWAN
1882;;;;;;;CHINA
1883;3;;;;;;MEXICO
1883;3;;;;;;SAMOA
1883;5;;;;;;INDONESIA
1883;5;;;;;;INDONESIA
1883;6;;;;;;GREECE
1883;8;41;36417;;;;INDONESIA
1883;10;9.14;8;;;;USA
1883;10;;;;;;INDONESIA
1883;11;;;;;;USA
1884;1;;;;;;URUGUAY
1884;1;;;;;;USA
1884;1;;;;;;FIJI
1884;2;;;;;;INDONESIA
1884;7;;;;;;ERITREA
1884;8;1.8;;;;;USA
1884;9;;;;;;USA
1884;11;;;;;;PANAMA
1884;11;0.1;;;;;USA
1884;11;;;;;;JAPAN
1884;12;2.4;;;;;USA
1885;1;;;;;;FRANCE
1885;1;;;;;;ALGERIA
1885;4;1.2;;;3;;INDONESIA
1885;7;;;;;;INDONESIA
1885;8;;;;;;INDONESIA
1885;11;1;;;;;CHILE
1885;11;;;;;;USA
1885;11;;;;;;USA
1885;12;;;;;;INDONESIA
1886;1;;;;;;INDONESIA
1886;6;0.3;;;;;NEW ZEALAND
1886;8;;;;;;GREECE
1886;8;;;;;;CHILE
1886;9;;;;;;USA
1886;12;;;;;;NEW ZEALAND
1886;;;;;;;BANGLADESH
1887;2;;;;;;PHILIPPINES
1887;2;;;;;;USA
1887;2;2;;;;;ITALY
1887;5;;51;;;;MEXICO
1887;5;;;;;;INDONESIA
1887;7;0.06;;;;;USA
1887;9;;;;;;HAITI
1887;10;;;;;;GREECE
1888;3;15;;;;;PAPUA NEW GUINEA
1888;3;;;;;;INDONESIA
1888;4;7;1;;;;NORWAY
1888;6;;;;;;URUGUAY
1888;6;;;;;;CHINA
1888;7;;;;;;ITALY
1888;9;;;;;;GREECE
1889;1;;;;;;USA
1889;3;11;;;;;TONGA
1889;5;0.1;;;;;PHILIPPINES
1889;8;;;;;;INDONESIA
1889;9;4;;;;;INDONESIA
1889;9;;;;;;USA
1889;9;;;;;;INDONESIA
1889;11;;;;;;INDONESIA
1889;12;;;;;;ITALY
1890;7;;171;;;;IRAN
1891;1;;36;;75;;ALGERIA
1891;5;;;;;;INDONESIA
1891;6;;;;;;INDONESIA
1891;6;;;;;;INDONESIA
1891;6;;;;;;NEW ZEALAND
1891;7;;;;;;MEXICO
1891;9;;;;;;NEW ZEALAND
1891;10;;;;;;INDONESIA
1891;11;2.44;;;;;USA
1892;1;;;;;;INDONESIA
1892;3;;;;;;CHILE
1892;5;;;;;;URUGUAY
1892;5;;;;;;USA TERRITORY
1892;5;;;;;;INDONESIA
1892;6;0.75;1532;;;;INDONESIA
1892;8;;;;;;TONGA
1892;8;;;;;;VANUATU
1892;11;;;;;;ITALY
1892;11;;;;;;INDONESIA
1892;12;;1;;2;;JAPAN
1893;1;;;;;;GREECE
1893;2;1;1;;;;GREECE
1893;2;;;;;;JAMAICA
1893;4;;;;;;GREECE
1893;6;3;;;;;RUSSIA
1893;6;;;;;;JAPAN
1893;6;;;;;;ALBANIA
1893;6;;;;;;PHILIPPINES
1893;7;;;;;;VANUATU
1893;8;;;;;;VANUATU
1894;3;4;1;;;99;JAPAN
1894;4;3;;;;;GREECE
1894;5;6;;;;;MEXICO
1894;7;4.5;;;;;TURKEY
1894;10;;726;;3858;;JAPAN
1894;11;;101;;;;ITALY
1894;11;12.2;;;;;ATLANTIC OCEAN
1894;11;3;2;;;;USA
1894;;1;;;;;TUNISIA
1895;1;;;;;;USA
1895;3;6;;;;;PAPUA NEW GUINEA
1895;3;;;;;;USA
1895;5;;;;;;JAPAN
1895;5;;;;;;CHILE
1895;7;;;;;;TURKMENISTAN
1895;7;5;;;;;NEW ZEALAND
1895;7;;;;;;USA
1895;8;;;;;;NEW ZEALAND
1895;9;;;;;;USA
1895;10;;;;;;USA
1895;10;;;;;;USA
1895;11;;;;;;ITALY
1896;1;0.25;;;;;JAPAN
1896;2;;;;;;JAMAICA
1896;6;38.2;27122;;11000;;JAPAN
1896;10;;;;;;INDONESIA
1896;10;;;;;;ITALY
1896;11;;;;;;GREECE
1896;12;2.5;;;;;USA
1896;;;;;;;ICELAND
1897;2;1;;;;;JAPAN
1897;3;;;;;;INDONESIA
1897;3;;;;;;SOLOMON ISLANDS
1897;4;;;;;;USA
1897;4;;;;;;NEW ZEALAND
1897;6;;1542;;;;INDIA
1897;6;;;;;;MEXICO
1897;8;3.6;;;;;JAPAN
1897;9;2;;;;;PHILIPPINES
1897;9;7;13;;;;PHILIPPINES
1897;9;1;;;;;NEW ZEALAND
1897;10;;;;17;;PHILIPPINES
1897;12;;;;;;DOMINICAN REPUBLIC
1897;12;;;;;;GREECE
1897;;;;;;;MONTSERRAT
1898;3;0.31;;;;;USA
1898;4;0.1;;;;;JAPAN
1898;6;;;;;;GREECE
1898;7;;6;;;;CHILE
1898;12;;;;;;GREECE
1899;1;;;;;;PAPUA NEW GUINEA
1899;1;1;;;;;GREECE
1899;1;1.8;;;;;AUSTRALIA
1899;2;10;1;;;;PORTUGAL
1899;8;;;;;;CHILE
1899;9;3.1;;;;;USA
1899;9;60.96;;;;;USA
1899;9;12;2460;;;;INDONESIA
1899;10;;;;;;JAPAN
1899;10;;;;;;PAPUA NEW GUINEA
1899;11;0.3;;;;;JAPAN
1899;11;;;;;;JAPAN
1899;12;;;;;;USA
1899;;3;;;;;VIETNAM
1900;1;;;;;;INDONESIA
1900;8;;5;;;;USA
1900;9;;;;;;PAPUA NEW GUINEA
1900;9;3;;;;;PAPUA NEW GUINEA
1900;10;;5;;1;;INDONESIA
1900;10;10;25;;;;VENEZUELA
1901;3;;;;;;USA
1901;3;3;4;;1200;;BULGARIA
1901;6;;;;;;JAPAN
1901;6;0.25;;;;;JAPAN
1901;8;0.6;;;;;JAPAN
1901;8;1.2;;;;;NEW CALEDONIA
1901;8;0.25;18;;8;;JAPAN
1901;8;0.02;;;;;JAPAN
1901;9;;;;;;PHILIPPINES
1901;10;1.5;;;;;NICARAGUA
1901;12;;;;;;USA
1902;1;;;;;;GUATEMALA
1902;2;;185;;;;EL SALVADOR
1902;4;;2000;;;;GUATEMALA
1902;5;5;23;;;;MARTINIQUE (FRENCH TERRITORY)
1902;5;1;1680;;;;SAINT VINCENT AND THE GRENADINES
1902;5;;28000;;;;MARTINIQUE (FRENCH TERRITORY)
1902;5;;;;;;MARTINIQUE (FRENCH TERRITORY)
1902;6;;;;;;MARTINIQUE (FRENCH TERRITORY)
1902;7;;;;;;GREECE
1902;7;;;;;;MARTINIQUE (FRENCH TERRITORY)
1902;8;;;;;;MEXICO
1902;8;;;;;;PHILIPPINES
1902;8;1;1500;;;;MARTINIQUE (FRENCH TERRITORY)
1902;9;;;;;;GUATEMALA
1903;2;0.15;;;;;USA TERRITORY
1903;3;1;;;;;INDONESIA
1903;5;;;;;;ITALY
1903;7;;;;;;MEXICO
1903;8;;;;;;USA
1903;9;;;;;;TAIWAN
1903;9;;;;;;CHILE
1903;10;;;;;;USA
1903;10;;;;;;USA
1903;10;;;;;;CANADA
1903;11;;;;;;USA
1903;11;;;;;;USA
1903;11;15.7;;;;;USA
1903;12;;;;;;CHILE
1904;1;;;;;;COLOMBIA
1904;2;;;;;;INDONESIA
1904;3;;;;;;USA
1904;6;;;;;;RUSSIA
